gtf_gene	gtf_gene_trimmed	crovir_transcript	converted_id	converted_id_no_dups
augustus_masked-scaffold-ma1-processed-gene-991.1_crovir-transcript-9918	augustus_masked-scaffold-ma1-processed-gene-991.1	crovir-transcript-9918	ZNF513	ZNF513
maker-scaffold-ma1-augustus-gene-991.16_crovir-transcript-9915	maker-scaffold-ma1-augustus-gene-991.16	crovir-transcript-9915	RNF19A	RNF19A
augustus_masked-scaffold-ma1-processed-gene-991.8_crovir-transcript-9919	augustus_masked-scaffold-ma1-processed-gene-991.8	crovir-transcript-9919	PPM1G	PPM1G
maker-scaffold-ma1-augustus-gene-991.17_crovir-transcript-9917	maker-scaffold-ma1-augustus-gene-991.17	crovir-transcript-9917	NRBP1	NRBP1
augustus_masked-scaffold-ma1-processed-gene-991.9_crovir-transcript-9922	augustus_masked-scaffold-ma1-processed-gene-991.9	crovir-transcript-9922	IFT172	IFT172
maker-scaffold-ma1-augustus-gene-991.18_crovir-transcript-9916	maker-scaffold-ma1-augustus-gene-991.18	crovir-transcript-9916	LDLRAP1	LDLRAP1
maker-scaffold-ma1-augustus-gene-991.25_crovir-transcript-9920	maker-scaffold-ma1-augustus-gene-991.25	crovir-transcript-9920	FNDC4	FNDC4
maker-scaffold-ma1-augustus-gene-991.26_crovir-transcript-9923	maker-scaffold-ma1-augustus-gene-991.26	crovir-transcript-9923	ZNF512	ZNF512
maker-scaffold-ma1-augustus-gene-991.19_crovir-transcript-9914	maker-scaffold-ma1-augustus-gene-991.19	crovir-transcript-9914	GPN1	GPN1
maker-scaffold-ma1-augustus-gene-991.20_crovir-transcript-9913	maker-scaffold-ma1-augustus-gene-991.20	crovir-transcript-9913	ST6GAL2	ST6GAL2
augustus_masked-scaffold-ma1-processed-gene-991.12_crovir-transcript-9925	augustus_masked-scaffold-ma1-processed-gene-991.12	crovir-transcript-9925	FMO3	FMO3
maker-scaffold-ma1-augustus-gene-991.28_crovir-transcript-9924	maker-scaffold-ma1-augustus-gene-991.28	crovir-transcript-9924	LRRC75A	LRRC75A
maker-scaffold-ma1-augustus-gene-991.29_crovir-transcript-9926	maker-scaffold-ma1-augustus-gene-991.29	crovir-transcript-9926	TMEM248	TMEM248
maker-scaffold-ma1-augustus-gene-991.30_crovir-transcript-9921	maker-scaffold-ma1-augustus-gene-991.30	crovir-transcript-9921	NCBP3	NCBP3
maker-scaffold-ma1-augustus-gene-992.9_crovir-transcript-9905	maker-scaffold-ma1-augustus-gene-992.9	crovir-transcript-9905	maker-scaffold-ma1-augustus-gene-992.9_crovir-transcript-9905	maker-scaffold-ma1-augustus-gene-992.9_crovir-transcript-9905
maker-scaffold-ma1-augustus-gene-992.10_crovir-transcript-9907	maker-scaffold-ma1-augustus-gene-992.10	crovir-transcript-9907	SMTNL2	SMTNL2
augustus_masked-scaffold-ma1-processed-gene-992.2_crovir-transcript-9909	augustus_masked-scaffold-ma1-processed-gene-992.2	crovir-transcript-9909	TEKT1	TEKT1
maker-scaffold-ma1-augustus-gene-992.17_crovir-transcript-9912	maker-scaffold-ma1-augustus-gene-992.17	crovir-transcript-9912	XAF1	XAF1
augustus_masked-scaffold-ma1-processed-gene-992.3_crovir-transcript-9908	augustus_masked-scaffold-ma1-processed-gene-992.3	crovir-transcript-9908	SLC13A5	SLC13A5
maker-scaffold-ma1-augustus-gene-992.18_crovir-transcript-9910	maker-scaffold-ma1-augustus-gene-992.18	crovir-transcript-9910	maker-scaffold-ma1-augustus-gene-992.18_crovir-transcript-9910	maker-scaffold-ma1-augustus-gene-992.18_crovir-transcript-9910
maker-scaffold-ma1-augustus-gene-992.13_crovir-transcript-9903	maker-scaffold-ma1-augustus-gene-992.13	crovir-transcript-9903	MED31	MED31
maker-scaffold-ma1-augustus-gene-992.19_crovir-transcript-9911	maker-scaffold-ma1-augustus-gene-992.19	crovir-transcript-9911	TXNDC17	TXNDC17
maker-scaffold-ma1-augustus-gene-992.15_crovir-transcript-9906	maker-scaffold-ma1-augustus-gene-992.15	crovir-transcript-9906	KIAA0753	KIAA0753
maker-scaffold-ma1-augustus-gene-992.16_crovir-transcript-9904	maker-scaffold-ma1-augustus-gene-992.16	crovir-transcript-9904	PITPNM3	PITPNM3
trnascan-scaffold-ma1-noncoding-Thr_TGT-gene-992.0	trnascan-scaffold-ma1-noncoding-Thr_TGT-gene-992.0	NA	trnascan-scaffold-ma1-noncoding-Thr_TGT-gene-992.0	trnascan-scaffold-ma1-noncoding-Thr_TGT-gene-992.0
maker-scaffold-ma1-augustus-gene-993.11_crovir-transcript-9866	maker-scaffold-ma1-augustus-gene-993.11	crovir-transcript-9866	CCL8	CCL8
maker-scaffold-ma1-augustus-gene-993.6_crovir-transcript-9865	maker-scaffold-ma1-augustus-gene-993.6	crovir-transcript-9865	maker-scaffold-ma1-augustus-gene-993.6_crovir-transcript-9865	maker-scaffold-ma1-augustus-gene-993.6_crovir-transcript-9865
maker-scaffold-ma1-augustus-gene-993.7_crovir-transcript-9864	maker-scaffold-ma1-augustus-gene-993.7	crovir-transcript-9864	HIP1	HIP1
maker-scaffold-ma1-augustus-gene-993.8_crovir-transcript-9861	maker-scaffold-ma1-augustus-gene-993.8	crovir-transcript-9861	POM121	POM121
maker-scaffold-ma1-augustus-gene-993.12_crovir-transcript-9867	maker-scaffold-ma1-augustus-gene-993.12	crovir-transcript-9867	NSUN5	NSUN5
augustus_masked-scaffold-ma1-processed-gene-993.2_crovir-transcript-9862	augustus_masked-scaffold-ma1-processed-gene-993.2	crovir-transcript-9862	TRIM50	TRIM50
maker-scaffold-ma1-augustus-gene-993.10_crovir-transcript-9863	maker-scaffold-ma1-augustus-gene-993.10	crovir-transcript-9863	FKBP6	FKBP6
maker-scaffold-ma1-augustus-gene-994.21_crovir-transcript-9963	maker-scaffold-ma1-augustus-gene-994.21	crovir-transcript-9963	BAZ1B	BAZ1B
maker-scaffold-ma1-augustus-gene-994.13_crovir-transcript-9955	maker-scaffold-ma1-augustus-gene-994.13	crovir-transcript-9955	PNPLA7	PNPLA7
maker-scaffold-ma1-augustus-gene-994.22_crovir-transcript-9964	maker-scaffold-ma1-augustus-gene-994.22	crovir-transcript-9964	BAZ1B	BAZ1B.1
maker-scaffold-ma1-augustus-gene-994.23_crovir-transcript-9958	maker-scaffold-ma1-augustus-gene-994.23	crovir-transcript-9958	C2orf72	C2orf72
maker-scaffold-ma1-augustus-gene-994.14_crovir-transcript-9956	maker-scaffold-ma1-augustus-gene-994.14	crovir-transcript-9956	C2orf72	C2orf72.1
maker-scaffold-ma1-augustus-gene-994.15_crovir-transcript-9957	maker-scaffold-ma1-augustus-gene-994.15	crovir-transcript-9957	FSIP2	FSIP2
maker-scaffold-ma1-augustus-gene-994.16_crovir-transcript-9952	maker-scaffold-ma1-augustus-gene-994.16	crovir-transcript-9952	FSIP2	FSIP2.1
maker-scaffold-ma1-augustus-gene-994.24_crovir-transcript-9962	maker-scaffold-ma1-augustus-gene-994.24	crovir-transcript-9962	MROH2A	MROH2A
maker-scaffold-ma1-augustus-gene-994.25_crovir-transcript-9965	maker-scaffold-ma1-augustus-gene-994.25	crovir-transcript-9965	MKS1	MKS1
maker-scaffold-ma1-augustus-gene-994.26_crovir-transcript-9961	maker-scaffold-ma1-augustus-gene-994.26	crovir-transcript-9961	BCL7B	BCL7B
maker-scaffold-ma1-augustus-gene-994.27_crovir-transcript-9959	maker-scaffold-ma1-augustus-gene-994.27	crovir-transcript-9959	TBL2	TBL2
maker-scaffold-ma1-augustus-gene-994.17_crovir-transcript-9953	maker-scaffold-ma1-augustus-gene-994.17	crovir-transcript-9953	BUD23	BUD23
maker-scaffold-ma1-augustus-gene-994.28_crovir-transcript-9960	maker-scaffold-ma1-augustus-gene-994.28	crovir-transcript-9960	STX1B	STX1B.1
augustus_masked-scaffold-ma1-processed-gene-994.7_crovir-transcript-9954	augustus_masked-scaffold-ma1-processed-gene-994.7	crovir-transcript-9954	MLXIPL	MLXIPL
augustus_masked-scaffold-ma1-processed-gene-995.3_crovir-transcript-9900	augustus_masked-scaffold-ma1-processed-gene-995.3	crovir-transcript-9900	VPS37D	VPS37D
maker-scaffold-ma1-augustus-gene-995.7_crovir-transcript-9897	maker-scaffold-ma1-augustus-gene-995.7	crovir-transcript-9897	SEPTIN4	SEPTIN4.1
maker-scaffold-ma1-augustus-gene-995.9_crovir-transcript-9899	maker-scaffold-ma1-augustus-gene-995.9	crovir-transcript-9899	LIMK1	LIMK1
maker-scaffold-ma1-augustus-gene-995.10_crovir-transcript-9901	maker-scaffold-ma1-augustus-gene-995.10	crovir-transcript-9901	maker-scaffold-ma1-augustus-gene-995.10_crovir-transcript-9901	maker-scaffold-ma1-augustus-gene-995.10_crovir-transcript-9901
maker-scaffold-ma1-augustus-gene-995.11_crovir-transcript-9898	maker-scaffold-ma1-augustus-gene-995.11	crovir-transcript-9898	ELN	ELN
maker-scaffold-ma1-augustus-gene-996.10_crovir-transcript-9882	maker-scaffold-ma1-augustus-gene-996.10	crovir-transcript-9882	maker-scaffold-ma1-augustus-gene-996.10_crovir-transcript-9882	maker-scaffold-ma1-augustus-gene-996.10_crovir-transcript-9882
maker-scaffold-ma1-augustus-gene-996.7_crovir-transcript-9880	maker-scaffold-ma1-augustus-gene-996.7	crovir-transcript-9880	METTL27	METTL27
augustus_masked-scaffold-ma1-processed-gene-996.5_crovir-transcript-9883	augustus_masked-scaffold-ma1-processed-gene-996.5	crovir-transcript-9883	CLDN4	CLDN4
augustus_masked-scaffold-ma1-processed-gene-996.6_crovir-transcript-9884	augustus_masked-scaffold-ma1-processed-gene-996.6	crovir-transcript-9884	CLDN4	CLDN4.1
maker-scaffold-ma1-augustus-gene-996.8_crovir-transcript-9881	maker-scaffold-ma1-augustus-gene-996.8	crovir-transcript-9881	ABHD11	ABHD11
maker-scaffold-ma1-augustus-gene-996.9_crovir-transcript-9879	maker-scaffold-ma1-augustus-gene-996.9	crovir-transcript-9879	CASP1	CASP1
maker-scaffold-ma1-augustus-gene-997.6_crovir-transcript-9972	maker-scaffold-ma1-augustus-gene-997.6	crovir-transcript-9972	XP_005257841	XP_005257841
maker-scaffold-ma1-augustus-gene-997.7_crovir-transcript-9968	maker-scaffold-ma1-augustus-gene-997.7	crovir-transcript-9968	XP_005257841	XP_005257841.1
maker-scaffold-ma1-augustus-gene-997.8_crovir-transcript-9966	maker-scaffold-ma1-augustus-gene-997.8	crovir-transcript-9966	HSF5	HSF5
maker-scaffold-ma1-augustus-gene-997.9_crovir-transcript-9967	maker-scaffold-ma1-augustus-gene-997.9	crovir-transcript-9967	RNF43	RNF43
maker-scaffold-ma1-augustus-gene-997.10_crovir-transcript-9971	maker-scaffold-ma1-augustus-gene-997.10	crovir-transcript-9971	SUPT4H1	SUPT4H1
maker-scaffold-ma1-augustus-gene-997.11_crovir-transcript-9969	maker-scaffold-ma1-augustus-gene-997.11	crovir-transcript-9969	XP_006722236	XP_006722236
maker-scaffold-ma1-augustus-gene-997.12_crovir-transcript-9970	maker-scaffold-ma1-augustus-gene-997.12	crovir-transcript-9970	MPO	MPO
maker-scaffold-ma1-augustus-gene-998.18_crovir-transcript-10012	maker-scaffold-ma1-augustus-gene-998.18	crovir-transcript-10012	EPX	EPX
maker-scaffold-ma1-augustus-gene-998.19_crovir-transcript-10009	maker-scaffold-ma1-augustus-gene-998.19	crovir-transcript-10009	PIMREG	PIMREG
augustus_masked-scaffold-ma1-processed-gene-998.2_crovir-transcript-10013	augustus_masked-scaffold-ma1-processed-gene-998.2	crovir-transcript-10013	TYW1	TYW1
maker-scaffold-ma1-augustus-gene-998.12_crovir-transcript-10003	maker-scaffold-ma1-augustus-gene-998.12	crovir-transcript-10003	SBDS	SBDS
maker-scaffold-ma1-augustus-gene-998.21_crovir-transcript-10015	maker-scaffold-ma1-augustus-gene-998.21	crovir-transcript-10015	NF2	NF2
trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-998.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-998.0	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-998.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-998.0
maker-scaffold-ma1-augustus-gene-998.13_crovir-transcript-10001	maker-scaffold-ma1-augustus-gene-998.13	crovir-transcript-10001	MRPS17	MRPS17
maker-scaffold-ma1-augustus-gene-998.14_crovir-transcript-10006	maker-scaffold-ma1-augustus-gene-998.14	crovir-transcript-10006	NIPSNAP2	NIPSNAP2
maker-scaffold-ma1-augustus-gene-998.22_crovir-transcript-10014	maker-scaffold-ma1-augustus-gene-998.22	crovir-transcript-10014	PSPH	PSPH
maker-scaffold-ma1-augustus-gene-998.15_crovir-transcript-10002	maker-scaffold-ma1-augustus-gene-998.15	crovir-transcript-10002	CCT6A	CCT6A
maker-scaffold-ma1-augustus-gene-998.16_crovir-transcript-10004	maker-scaffold-ma1-augustus-gene-998.16	crovir-transcript-10004	XP_016867428	XP_016867428
maker-scaffold-ma1-augustus-gene-998.23_crovir-transcript-10010	maker-scaffold-ma1-augustus-gene-998.23	crovir-transcript-10010	PHKG1	PHKG1
maker-scaffold-ma1-augustus-gene-998.24_crovir-transcript-10008	maker-scaffold-ma1-augustus-gene-998.24	crovir-transcript-10008	CHCHD2	CHCHD2
maker-scaffold-ma1-augustus-gene-998.25_crovir-transcript-10007	maker-scaffold-ma1-augustus-gene-998.25	crovir-transcript-10007	NUPR2	NUPR2
maker-scaffold-ma1-augustus-gene-998.17_crovir-transcript-10005	maker-scaffold-ma1-augustus-gene-998.17	crovir-transcript-10005	VKORC1L1	VKORC1L1
maker-scaffold-ma1-augustus-gene-998.26_crovir-transcript-10016	maker-scaffold-ma1-augustus-gene-998.26	crovir-transcript-10016	GUSB	GUSB
maker-scaffold-ma1-augustus-gene-998.27_crovir-transcript-10011	maker-scaffold-ma1-augustus-gene-998.27	crovir-transcript-10011	ASL	ASL
maker-scaffold-ma1-augustus-gene-999.5_crovir-transcript-9945	maker-scaffold-ma1-augustus-gene-999.5	crovir-transcript-9945	CRCP	CRCP
maker-scaffold-ma1-augustus-gene-999.6_crovir-transcript-9944	maker-scaffold-ma1-augustus-gene-999.6	crovir-transcript-9944	TPST1	TPST1
maker-scaffold-ma1-augustus-gene-999.7_crovir-transcript-9943	maker-scaffold-ma1-augustus-gene-999.7	crovir-transcript-9943	RABGEF1	RABGEF1
trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1000.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1000.0	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1000.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1000.0
maker-scaffold-ma1-augustus-gene-1000.2_crovir-transcript-9896	maker-scaffold-ma1-augustus-gene-1000.2	crovir-transcript-9896	TMEM132E	TMEM132E
maker-scaffold-ma1-augustus-gene-1001.1_crovir-transcript-9895	maker-scaffold-ma1-augustus-gene-1001.1	crovir-transcript-9895	maker-scaffold-ma1-augustus-gene-1001.1_crovir-transcript-9895	maker-scaffold-ma1-augustus-gene-1001.1_crovir-transcript-9895
maker-scaffold-ma1-augustus-gene-1002.1_crovir-transcript-9902	maker-scaffold-ma1-augustus-gene-1002.1	crovir-transcript-9902	LIG3	LIG3
maker-scaffold-ma1-augustus-gene-1003.10_crovir-transcript-9984	maker-scaffold-ma1-augustus-gene-1003.10	crovir-transcript-9984	RFFL	RFFL
maker-scaffold-ma1-augustus-gene-1003.11_crovir-transcript-9985	maker-scaffold-ma1-augustus-gene-1003.11	crovir-transcript-9985	RAD51D	RAD51D
augustus_masked-scaffold-ma1-processed-gene-1003.1_crovir-transcript-9981	augustus_masked-scaffold-ma1-processed-gene-1003.1	crovir-transcript-9981	UNC45B	UNC45B
maker-scaffold-ma1-augustus-gene-1003.12_crovir-transcript-9983	maker-scaffold-ma1-augustus-gene-1003.12	crovir-transcript-9983	PEX12	PEX12
maker-scaffold-ma1-augustus-gene-1003.8_crovir-transcript-9979	maker-scaffold-ma1-augustus-gene-1003.8	crovir-transcript-9979	AP2B1	AP2B1
maker-scaffold-ma1-augustus-gene-1003.9_crovir-transcript-9980	maker-scaffold-ma1-augustus-gene-1003.9	crovir-transcript-9980	RASL10B	RASL10B
maker-scaffold-ma1-augustus-gene-1003.13_crovir-transcript-9982	maker-scaffold-ma1-augustus-gene-1003.13	crovir-transcript-9982	GAS2L2	GAS2L2
maker-scaffold-ma1-augustus-gene-1004.9_crovir-transcript-10027	maker-scaffold-ma1-augustus-gene-1004.9	crovir-transcript-10027	CYP2C18	CYP2C18.1
maker-scaffold-ma1-augustus-gene-1004.10_crovir-transcript-10029	maker-scaffold-ma1-augustus-gene-1004.10	crovir-transcript-10029	MMP28	MMP28
maker-scaffold-ma1-augustus-gene-1004.11_crovir-transcript-10024	maker-scaffold-ma1-augustus-gene-1004.11	crovir-transcript-10024	TAF15	TAF15
maker-scaffold-ma1-augustus-gene-1004.6_crovir-transcript-10021	maker-scaffold-ma1-augustus-gene-1004.6	crovir-transcript-10021	RHBDD2	RHBDD2
maker-scaffold-ma1-augustus-gene-1004.7_crovir-transcript-10022	maker-scaffold-ma1-augustus-gene-1004.7	crovir-transcript-10022	POR	POR
maker-scaffold-ma1-augustus-gene-1004.12_crovir-transcript-10025	maker-scaffold-ma1-augustus-gene-1004.12	crovir-transcript-10025	TMEM120B	TMEM120B
maker-scaffold-ma1-augustus-gene-1004.13_crovir-transcript-10028	maker-scaffold-ma1-augustus-gene-1004.13	crovir-transcript-10028	STYXL1	STYXL1
maker-scaffold-ma1-augustus-gene-1004.14_crovir-transcript-10026	maker-scaffold-ma1-augustus-gene-1004.14	crovir-transcript-10026	STYXL1	STYXL1.1
maker-scaffold-ma1-augustus-gene-1004.8_crovir-transcript-10023	maker-scaffold-ma1-augustus-gene-1004.8	crovir-transcript-10023	MDH2	MDH2
maker-scaffold-ma1-augustus-gene-1005.8_crovir-transcript-9949	maker-scaffold-ma1-augustus-gene-1005.8	crovir-transcript-9949	KLHL5	KLHL5
maker-scaffold-ma1-augustus-gene-1005.5_crovir-transcript-9946	maker-scaffold-ma1-augustus-gene-1005.5	crovir-transcript-9946	SRRM3	SRRM3
maker-scaffold-ma1-augustus-gene-1005.6_crovir-transcript-9948	maker-scaffold-ma1-augustus-gene-1005.6	crovir-transcript-9948	SRRM3	SRRM3.1
augustus_masked-scaffold-ma1-processed-gene-1005.3_crovir-transcript-9947	augustus_masked-scaffold-ma1-processed-gene-1005.3	crovir-transcript-9947	HSPB1	HSPB1
maker-scaffold-ma1-augustus-gene-1006.8_crovir-transcript-9975	maker-scaffold-ma1-augustus-gene-1006.8	crovir-transcript-9975	YWHAG	YWHAG
maker-scaffold-ma1-augustus-gene-1006.9_crovir-transcript-9976	maker-scaffold-ma1-augustus-gene-1006.9	crovir-transcript-9976	SSC4D	SSC4D
maker-scaffold-ma1-augustus-gene-1006.6_crovir-transcript-9973	maker-scaffold-ma1-augustus-gene-1006.6	crovir-transcript-9973	DTX2	DTX2
maker-scaffold-ma1-augustus-gene-1006.10_crovir-transcript-9977	maker-scaffold-ma1-augustus-gene-1006.10	crovir-transcript-9977	UPK3BL1	UPK3BL1
maker-scaffold-ma1-augustus-gene-1006.11_crovir-transcript-9978	maker-scaffold-ma1-augustus-gene-1006.11	crovir-transcript-9978	CMTM5	CMTM5
maker-scaffold-ma1-augustus-gene-1006.7_crovir-transcript-9974	maker-scaffold-ma1-augustus-gene-1006.7	crovir-transcript-9974	UPK3B	UPK3B
maker-scaffold-ma1-augustus-gene-1007.7_crovir-transcript-9990	maker-scaffold-ma1-augustus-gene-1007.7	crovir-transcript-9990	ZZEF1	ZZEF1
trnascan-scaffold-ma1-noncoding-SeC_TCA-gene-1007.0	trnascan-scaffold-ma1-noncoding-SeC_TCA-gene-1007.0	NA	trnascan-scaffold-ma1-noncoding-SeC_TCA-gene-1007.0	trnascan-scaffold-ma1-noncoding-SeC_TCA-gene-1007.0
trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1007.1	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1007.1	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1007.1	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1007.1
augustus_masked-scaffold-ma1-processed-gene-1007.3_crovir-transcript-9992	augustus_masked-scaffold-ma1-processed-gene-1007.3	crovir-transcript-9992	ATP2A3	ATP2A3.1
maker-scaffold-ma1-augustus-gene-1007.10_crovir-transcript-9991	maker-scaffold-ma1-augustus-gene-1007.10	crovir-transcript-9991	P2RX1	P2RX1
maker-scaffold-ma1-augustus-gene-1008.8_crovir-transcript-9993	maker-scaffold-ma1-augustus-gene-1008.8	crovir-transcript-9993	CAMKK1	CAMKK1
trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1008.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1008.0	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1008.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1008.0
maker-scaffold-ma1-augustus-gene-1008.10_crovir-transcript-9997	maker-scaffold-ma1-augustus-gene-1008.10	crovir-transcript-9997	C1QBP	C1QBP
maker-scaffold-ma1-augustus-gene-1008.11_crovir-transcript-10000	maker-scaffold-ma1-augustus-gene-1008.11	crovir-transcript-10000	DHX33	DHX33
maker-scaffold-ma1-augustus-gene-1008.12_crovir-transcript-9999	maker-scaffold-ma1-augustus-gene-1008.12	crovir-transcript-9999	DERL2	DERL2
maker-scaffold-ma1-augustus-gene-1008.13_crovir-transcript-9995	maker-scaffold-ma1-augustus-gene-1008.13	crovir-transcript-9995	RPAIN	RPAIN
maker-scaffold-ma1-augustus-gene-1008.9_crovir-transcript-9994	maker-scaffold-ma1-augustus-gene-1008.9	crovir-transcript-9994	NUP88	NUP88
maker-scaffold-ma1-augustus-gene-1008.14_crovir-transcript-9996	maker-scaffold-ma1-augustus-gene-1008.14	crovir-transcript-9996	RABEP1	RABEP1
augustus_masked-scaffold-ma1-processed-gene-1008.7_crovir-transcript-9998	augustus_masked-scaffold-ma1-processed-gene-1008.7	crovir-transcript-9998	IFT22	IFT22
augustus_masked-scaffold-ma1-processed-gene-1009.0_crovir-transcript-9950	augustus_masked-scaffold-ma1-processed-gene-1009.0	crovir-transcript-9950	COL26A1	COL26A1
maker-scaffold-ma1-augustus-gene-1009.5_crovir-transcript-9951	maker-scaffold-ma1-augustus-gene-1009.5	crovir-transcript-9951	MYL2	MYL2
trnascan-scaffold-ma1-noncoding-Pseudo_AAC-gene-1010.0	trnascan-scaffold-ma1-noncoding-Pseudo_AAC-gene-1010.0	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AAC-gene-1010.0	trnascan-scaffold-ma1-noncoding-Pseudo_AAC-gene-1010.0
maker-scaffold-ma1-augustus-gene-1011.4_crovir-transcript-9986	maker-scaffold-ma1-augustus-gene-1011.4	crovir-transcript-9986	CUX1	CUX1
maker-scaffold-ma1-augustus-gene-1011.5_crovir-transcript-9989	maker-scaffold-ma1-augustus-gene-1011.5	crovir-transcript-9989	CUX1	CUX1.1
maker-scaffold-ma1-augustus-gene-1011.6_crovir-transcript-9987	maker-scaffold-ma1-augustus-gene-1011.6	crovir-transcript-9987	CUX1	CUX1.2
trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1011.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1011.0	NA	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1011.0	trnascan-scaffold-ma1-noncoding-Pseudo_AGA-gene-1011.0
maker-scaffold-ma1-augustus-gene-1011.7_crovir-transcript-9988	maker-scaffold-ma1-augustus-gene-1011.7	crovir-transcript-9988	maker-scaffold-ma1-augustus-gene-1011.7_crovir-transcript-9988	maker-scaffold-ma1-augustus-gene-1011.7_crovir-transcript-9988
maker-scaffold-ma1-augustus-gene-1012.7_crovir-transcript-10038	maker-scaffold-ma1-augustus-gene-1012.7	crovir-transcript-10038	SH2B2	SH2B2
maker-scaffold-ma1-augustus-gene-1012.8_crovir-transcript-10041	maker-scaffold-ma1-augustus-gene-1012.8	crovir-transcript-10041	PRKRIP1	PRKRIP1
maker-scaffold-ma1-augustus-gene-1012.9_crovir-transcript-10036	maker-scaffold-ma1-augustus-gene-1012.9	crovir-transcript-10036	ORAI2	ORAI2
maker-scaffold-ma1-augustus-gene-1012.13_crovir-transcript-10043	maker-scaffold-ma1-augustus-gene-1012.13	crovir-transcript-10043	ALKBH4	ALKBH4
augustus_masked-scaffold-ma1-processed-gene-1012.3_crovir-transcript-10040	augustus_masked-scaffold-ma1-processed-gene-1012.3	crovir-transcript-10040	LRWD1	LRWD1
maker-scaffold-ma1-augustus-gene-1012.14_crovir-transcript-10042	maker-scaffold-ma1-augustus-gene-1012.14	crovir-transcript-10042	maker-scaffold-ma1-augustus-gene-1012.14_crovir-transcript-10042	maker-scaffold-ma1-augustus-gene-1012.14_crovir-transcript-10042
maker-scaffold-ma1-augustus-gene-1012.15_crovir-transcript-10044	maker-scaffold-ma1-augustus-gene-1012.15	crovir-transcript-10044	RASA4	RASA4
maker-scaffold-ma1-augustus-gene-1012.11_crovir-transcript-10039	maker-scaffold-ma1-augustus-gene-1012.11	crovir-transcript-10039	maker-scaffold-ma1-augustus-gene-1012.11_crovir-transcript-10039	maker-scaffold-ma1-augustus-gene-1012.11_crovir-transcript-10039
maker-scaffold-ma1-augustus-gene-1012.12_crovir-transcript-10037	maker-scaffold-ma1-augustus-gene-1012.12	crovir-transcript-10037	CYB5D2	CYB5D2
maker-scaffold-ma1-augustus-gene-1013.4_crovir-transcript-10034	maker-scaffold-ma1-augustus-gene-1013.4	crovir-transcript-10034	ANKFY1	ANKFY1
maker-scaffold-ma1-augustus-gene-1013.5_crovir-transcript-10033	maker-scaffold-ma1-augustus-gene-1013.5	crovir-transcript-10033	UBE2G1	UBE2G1
maker-scaffold-ma1-augustus-gene-1013.6_crovir-transcript-10035	maker-scaffold-ma1-augustus-gene-1013.6	crovir-transcript-10035	CYB5R3	CYB5R3
maker-scaffold-ma1-augustus-gene-1013.3_crovir-transcript-10032	maker-scaffold-ma1-augustus-gene-1013.3	crovir-transcript-10032	PIK3CG	PIK3CG
maker-scaffold-ma1-augustus-gene-1014.6_crovir-transcript-10058	maker-scaffold-ma1-augustus-gene-1014.6	crovir-transcript-10058	SPNS2	SPNS2
maker-scaffold-ma1-augustus-gene-1014.7_crovir-transcript-10059	maker-scaffold-ma1-augustus-gene-1014.7	crovir-transcript-10059	SPNS2	SPNS2.1
maker-scaffold-ma1-augustus-gene-1014.10_crovir-transcript-10060	maker-scaffold-ma1-augustus-gene-1014.10	crovir-transcript-10060	MYBBP1A	MYBBP1A
maker-scaffold-ma1-augustus-gene-1014.8_crovir-transcript-10056	maker-scaffold-ma1-augustus-gene-1014.8	crovir-transcript-10056	XP_011514858	XP_011514858
maker-scaffold-ma1-augustus-gene-1014.9_crovir-transcript-10057	maker-scaffold-ma1-augustus-gene-1014.9	crovir-transcript-10057	maker-scaffold-ma1-augustus-gene-1014.9_crovir-transcript-10057	maker-scaffold-ma1-augustus-gene-1014.9_crovir-transcript-10057
maker-scaffold-ma1-augustus-gene-1014.11_crovir-transcript-10061	maker-scaffold-ma1-augustus-gene-1014.11	crovir-transcript-10061	RFC2	RFC2
maker-scaffold-ma1-augustus-gene-1015.4_crovir-transcript-10064	maker-scaffold-ma1-augustus-gene-1015.4	crovir-transcript-10064	CLIP2	CLIP2
maker-scaffold-ma1-augustus-gene-1015.6_crovir-transcript-10065	maker-scaffold-ma1-augustus-gene-1015.6	crovir-transcript-10065	GTF2IRD1	GTF2IRD1
